genome	gyrB	dnaG	frr	infC	nusA	pgk	pyrG	rplA	rplB	rplC	rplD	rplE	rplF	rplK	rplL	rplM	rplN	rplP	rplS	rplT	rpmA	rpoB	rpsB	rpsC	rpsE	rpsI	rpsJ	rpsK	rpsM	rpsS	smpB	tsf
GUT_GENOME257420	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971		GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610		GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME097622	GUT_GENOME163846_01065,GUT_GENOME263846_01148,GUT_GENOME095938_00005	GUT_GENOME081368_00929			GUT_GENOME004691_01341				GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031			GUT_GENOME004335_00271					GUT_GENOME266946_00851	GUT_GENOME049730_00958			GUT_GENOME060258_00278		GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311,GUT_GENOME143483_01745	GUT_GENOME180310_00679		
GUT_GENOME239815	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME097626_00303	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME257708	GUT_GENOME163846_01065,GUT_GENOME263846_01148		GUT_GENOME126312_00971	GUT_GENOME218496_00635		GUT_GENOME039656_00306	GUT_GENOME099453_01228		GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179		GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME202428_00227		GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679		GUT_GENOME019818_00184
GUT_GENOME257574	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971		GUT_GENOME004691_01341		GUT_GENOME099453_01228	GUT_GENOME114974_00444				GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610		GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME137467_00495	GUT_GENOME060258_00278	GUT_GENOME003134_00461		GUT_GENOME032757_01189	GUT_GENOME088921_01311		GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME239781	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME254864	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306		GUT_GENOME114974_00444				GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271			GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341		GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311		GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME253550	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME239745	GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME096744	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME255225_00850	GUT_GENOME280299_00817					GUT_GENOME114974_00444				GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271			GUT_GENOME278952_00913		GUT_GENOME266946_00851		GUT_GENOME196106_01341		GUT_GENOME060258_00278	GUT_GENOME003134_00461		GUT_GENOME032757_01189	GUT_GENOME088921_01311			GUT_GENOME019818_00184
GUT_GENOME106820	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME255225_00850	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME276996_00005	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME180017_00607	GUT_GENOME019818_00184
GUT_GENOME100884	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME255225_00850	GUT_GENOME126312_00971	GUT_GENOME218496_00635		GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME097354	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME096128	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME210004	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME162597_00519	GUT_GENOME126312_00971		GUT_GENOME004691_01341		GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME210004_01181	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610		GUT_GENOME266946_00851		GUT_GENOME196106_01341	GUT_GENOME137467_00495	GUT_GENOME210004_01405	GUT_GENOME003134_00461				GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME252836	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME255225_00850	GUT_GENOME126312_00971		GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610		GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME239761	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME095992_00459,GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME096281	GUT_GENOME096281_00676	GUT_GENOME003966_01612	GUT_GENOME003966_00669	GUT_GENOME098769_00718	GUT_GENOME096281_01441	GUT_GENOME096281_01030	GUT_GENOME096281_00634	GUT_GENOME096281_00539	GUT_GENOME096281_01629	GUT_GENOME003966_00090	GUT_GENOME207895_01438	GUT_GENOME207895_00763	GUT_GENOME095471_00064	GUT_GENOME003966_00280	GUT_GENOME098769_01321	GUT_GENOME003966_00059	GUT_GENOME207895_00765	GUT_GENOME003966_00083	GUT_GENOME207895_00143	GUT_GENOME003966_00813	GUT_GENOME098769_01355	GUT_GENOME096281_01641	GUT_GENOME096281_00177	GUT_GENOME003966_00084		GUT_GENOME207895_00742	GUT_GENOME096459_02085	GUT_GENOME003966_00064	GUT_GENOME096281_01607	GUT_GENOME096281_01628	GUT_GENOME207895_01062	GUT_GENOME096281_00176
GUT_GENOME251937	GUT_GENOME251937_00475,GUT_GENOME251937_00149		GUT_GENOME251937_00420		GUT_GENOME251937_00575	GUT_GENOME251937_00827	GUT_GENOME251937_01369	GUT_GENOME251937_00799	GUT_GENOME251937_00640	GUT_GENOME251937_00643	GUT_GENOME251937_00642	GUT_GENOME007529_00065	GUT_GENOME251937_00628	GUT_GENOME251937_00800	GUT_GENOME007529_01038	GUT_GENOME007529_00548	GUT_GENOME251937_00633	GUT_GENOME007529_00060	GUT_GENOME251937_00721			GUT_GENOME007529_00411	GUT_GENOME251937_00423	GUT_GENOME251937_00637	GUT_GENOME251937_00626	GUT_GENOME251937_01198	GUT_GENOME007529_00052	GUT_GENOME251937_00617	GUT_GENOME251937_00618	GUT_GENOME007529_00057	GUT_GENOME251937_01088	GUT_GENOME251937_00422
GUT_GENOME064466	GUT_GENOME163846_01065,GUT_GENOME263846_01148		GUT_GENOME280299_00817	GUT_GENOME218496_00635		GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME278952_00913	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461		GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME116144_00819	GUT_GENOME019818_00184
GUT_GENOME064269	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME175146	GUT_GENOME263846_01148		GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME096217_01914	GUT_GENOME278952_00913		GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311		GUT_GENOME116144_00819	GUT_GENOME019818_00184
GUT_GENOME066317	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME255225_00850	GUT_GENOME280299_00817	GUT_GENOME218496_00635		GUT_GENOME039656_00306	GUT_GENOME099453_01228		GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031		GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME175115	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971			GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617			GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME278952_00913		GUT_GENOME266946_00851		GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278			GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME116144_00819	GUT_GENOME019818_00184
GUT_GENOME175216	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME062400	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME175234	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME162597_00519	GUT_GENOME280299_00817	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME062469	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635		GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME196106_01605	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME174952	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971		GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444						GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271			GUT_GENOME205824_01610		GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341			GUT_GENOME003134_00461	GUT_GENOME187900_01073				GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME239699	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME174855	GUT_GENOME163846_01065,GUT_GENOME263846_01148,GUT_GENOME129321_00645	GUT_GENOME255225_00850			GUT_GENOME174855_01629	GUT_GENOME174855_01685		GUT_GENOME114974_00444					GUT_GENOME246554_00031	GUT_GENOME120636_00617		GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME174855_00787	GUT_GENOME205824_01610		GUT_GENOME266946_00851	GUT_GENOME049730_00958			GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME045096_01286	GUT_GENOME032757_01189,GUT_GENOME044732_00096	GUT_GENOME094850_00989,GUT_GENOME088921_01311		GUT_GENOME252836_01575	
GUT_GENOME174301	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME092330_00952	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
